,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
123,124,2005-04-01,{'CNY': 10.684624},CNY,10.684624,2005,4,Apr
124,125,2006-04-01,{'USD': 1.210966},USD,1.210966,2006,4,Apr
125,126,2006-04-01,{'GBP': 0.697122},GBP,0.697122,2006,4,Apr
126,127,2006-04-01,{'JPY': 142.51852},JPY,142.51852,2006,4,Apr
127,128,2006-04-01,{'CNY': 9.708629},CNY,9.708629,2006,4,Apr
128,129,2007-04-01,{'USD': 1.333632},USD,1.333632,2007,4,Apr
129,130,2007-04-01,{'GBP': 0.679244},GBP,0.679244,2007,4,Apr
130,131,2007-04-01,{'JPY': 157.328059},JPY,157.328059,2007,4,Apr
131,132,2007-04-01,{'CNY': 10.309653},CNY,10.309653,2007,4,Apr
132,133,2008-04-01,{'USD': 1.561507},USD,1.561507,2008,4,Apr
133,134,2008-04-01,{'GBP': 0.788645},GBP,0.788645,2008,4,Apr
134,135,2008-04-01,{'JPY': 158.379894},JPY,158.379894,2008,4,Apr
135,136,2008-04-01,{'CNY': 10.949434},CNY,10.949434,2008,4,Apr
136,137,2009-04-01,{'USD': 1.324779},USD,1.324779,2009,4,Apr
137,138,2009-04-01,{'GBP': 0.920708},GBP,0.920708,2009,4,Apr
138,139,2009-04-01,{'JPY': 130.33253},JPY,130.33253,2009,4,Apr
139,140,2009-04-01,{'CNY': 9.054373},CNY,9.054373,2009,4,Apr
140,141,2010-04-01,{'USD': 1.355971},USD,1.355971,2010,4,Apr
141,142,2010-04-01,{'GBP': 0.888371},GBP,0.888371,2010,4,Apr
142,143,2010-04-01,{'JPY': 127.208379},JPY,127.208379,2010,4,Apr
143,144,2010-04-01,{'CNY': 9.257233},CNY,9.257233,2010,4,Apr
144,145,2011-04-01,{'USD': 1.420868},USD,1.420868,2011,4,Apr
145,146,2011-04-01,{'GBP': 0.883047},GBP,0.883047,2011,4,Apr
146,147,2011-04-01,{'JPY': 119.346254},JPY,119.346254,2011,4,Apr
147,148,2011-04-01,{'CNY': 9.303066},CNY,9.303066,2011,4,Apr
148,149,2012-04-01,{'USD': 1.333522},USD,1.333522,2012,4,Apr
149,150,2012-04-01,{'GBP': 0.837228},GBP,0.837228,2012,4,Apr
150,151,2012-04-01,{'JPY': 110.633746},JPY,110.633746,2012,4,Apr
151,152,2012-04-01,{'CNY': 8.40245},CNY,8.40245,2012,4,Apr
152,153,2013-04-01,{'USD': 1.28358},USD,1.28358,2013,4,Apr
153,154,2013-04-01,{'GBP': 0.843193},GBP,0.843193,2013,4,Apr
154,155,2013-04-01,{'JPY': 120.065678},JPY,120.065678,2013,4,Apr
155,156,2013-04-01,{'CNY': 7.982115},CNY,7.982115,2013,4,Apr
156,157,2014-04-01,{'USD': 1.379373},USD,1.379373,2014,4,Apr
157,158,2014-04-01,{'GBP': 0.829471},GBP,0.829471,2014,4,Apr
158,159,2014-04-01,{'JPY': 142.800845},JPY,142.800845,2014,4,Apr
159,160,2014-04-01,{'CNY': 8.551912},CNY,8.551912,2014,4,Apr
160,161,2005-05-01,{'USD': 1.291002},USD,1.291002,2005,5,May
161,162,2005-05-01,{'GBP': 0.676088},GBP,0.676088,2005,5,May
162,163,2005-05-01,{'JPY': 135.53561},JPY,135.53561,2005,5,May
163,164,2005-05-01,{'CNY': 10.68072},CNY,10.68072,2005,5,May
164,165,2006-05-01,{'USD': 1.259103},USD,1.259103,2006,5,May
165,166,2006-05-01,{'GBP': 0.690724},GBP,0.690724,2006,5,May
166,167,2006-05-01,{'JPY': 142.836986},JPY,142.836986,2006,5,May
167,168,2006-05-01,{'CNY': 10.093606},CNY,10.093606,2006,5,May
168,169,2007-05-01,{'USD': 1.360987},USD,1.360987,2007,5,May
169,170,2007-05-01,{'GBP': 0.68105},GBP,0.68105,2007,5,May
170,171,2007-05-01,{'JPY': 162.949599},JPY,162.949599,2007,5,May
171,172,2007-05-01,{'CNY': 10.488592},CNY,10.488592,2007,5,May
172,173,2008-05-01,{'USD': 1.547207},USD,1.547207,2008,5,May
173,174,2008-05-01,{'GBP': 0.784162},GBP,0.784162,2008,5,May
174,175,2008-05-01,{'JPY': 161.623606},JPY,161.623606,2008,5,May
175,176,2008-05-01,{'CNY': 10.812932},CNY,10.812932,2008,5,May
176,177,2009-05-01,{'USD': 1.326848},USD,1.326848,2009,5,May
177,178,2009-05-01,{'GBP': 0.8908},GBP,0.8908,2009,5,May
178,179,2009-05-01,{'JPY': 131.521292},JPY,131.521292,2009,5,May
179,180,2009-05-01,{'CNY': 9.049757},CNY,9.049757,2009,5,May
180,181,2010-05-01,{'USD': 1.330394},USD,1.330394,2010,5,May
181,182,2010-05-01,{'GBP': 0.870313},GBP,0.870313,2010,5,May
182,183,2010-05-01,{'JPY': 125.27154},JPY,125.27154,2010,5,May
183,184,2010-05-01,{'CNY': 9.083755},CNY,9.083755,2010,5,May
184,185,2011-05-01,{'USD': 1.483473},USD,1.483473,2011,5,May
185,186,2011-05-01,{'GBP': 0.889021},GBP,0.889021,2011,5,May
186,187,2011-05-01,{'JPY': 120.482267},JPY,120.482267,2011,5,May
187,188,2011-05-01,{'CNY': 9.629246},CNY,9.629246,2011,5,May
188,189,2012-05-01,{'USD': 1.322891},USD,1.322891,2012,5,May
189,190,2012-05-01,{'GBP': 0.815277},GBP,0.815277,2012,5,May
190,191,2012-05-01,{'JPY': 106.026527},JPY,106.026527,2012,5,May
191,192,2012-05-01,{'CNY': 8.332001},CNY,8.332001,2012,5,May
192,193,2013-05-01,{'USD': 1.318364},USD,1.318364,2013,5,May
193,194,2013-05-01,{'GBP': 0.847353},GBP,0.847353,2013,5,May
194,195,2013-05-01,{'JPY': 128.432707},JPY,128.432707,2013,5,May
195,196,2013-05-01,{'CNY': 8.14417},CNY,8.14417,2013,5,May
196,197,2014-05-01,{'USD': 1.386913},USD,1.386913,2014,5,May
197,198,2014-05-01,{'GBP': 0.821145},GBP,0.821145,2014,5,May
198,199,2014-05-01,{'JPY': 141.939126},JPY,141.939126,2014,5,May
199,200,2014-05-01,{'CNY': 8.655164},CNY,8.655164,2014,5,May
200,201,2005-06-01,{'USD': 1.221849},USD,1.221849,2005,6,June
201,202,2005-06-01,{'GBP': 0.674884},GBP,0.674884,2005,6,June
202,203,2005-06-01,{'JPY': 132.708552},JPY,132.708552,2005,6,June
203,204,2005-06-01,{'CNY': 10.111306},CNY,10.111306,2005,6,June
204,205,2006-06-01,{'USD': 1.279718},USD,1.279718,2006,6,June
205,206,2006-06-01,{'GBP': 0.686559},GBP,0.686559,2006,6,June
206,207,2006-06-01,{'JPY': 144.374549},JPY,144.374549,2006,6,June
207,208,2006-06-01,{'CNY': 10.26336},CNY,10.26336,2006,6,June
208,209,2007-06-01,{'USD': 1.344044},USD,1.344044,2007,6,June
209,210,2007-06-01,{'GBP': 0.678753},GBP,0.678753,2007,6,June
210,211,2007-06-01,{'JPY': 163.992174},JPY,163.992174,2007,6,June
211,212,2007-06-01,{'CNY': 10.278529},CNY,10.278529,2007,6,June
212,213,2008-06-01,{'USD': 1.553244},USD,1.553244,2008,6,June
213,214,2008-06-01,{'GBP': 0.785736},GBP,0.785736,2008,6,June
214,215,2008-06-01,{'JPY': 163.860693},JPY,163.860693,2008,6,June
